time,latitude,longitude,heart_rate
14:00:19,48.87394696733226,2.2784619590510493,131
14:00:20,48.87394696733226,2.2784619590510493,131
14:00:21,48.873948618769646,2.278462360302607,131
14:00:22,48.87395040512085,2.2784627962112425,131
14:00:23,48.87395237500851,2.2784637121053843,131
14:00:24,48.873954198978566,2.278465054653309,131
14:00:25,48.87395619068827,2.2784664801188876,131
14:00:26,48.873958562982494,2.2784687815041376,131
14:00:27,48.873958562982494,2.2784687815041376,132
14:00:28,48.87396077712377,2.278469987710317,133
14:00:29,48.87396284841722,2.278470523895756,133
14:00:30,48.87396463379264,2.27847071364522,135
14:00:31,48.87396600752166,2.2784708918947163,135
14:00:32,48.87396730044309,2.278471894123975,135
14:00:33,48.873968662534445,2.278473220552717,135
14:00:34,48.873970088031555,2.278474102417628,135
14:00:35,48.873971707112084,2.2784746659768595,135
14:00:36,48.873973197058625,2.2784744532484758,135
14:00:37,48.87397401149456,2.278473695119222,135
14:00:38,48.873974326252934,2.278472477197647,134
14:00:39,48.873974218601134,2.27847091163077,133
14:00:40,48.87397198270007,2.2784688792577605,132
14:00:41,48.873969421154115,2.2784667247679176,131
14:00:42,48.87396653396328,2.2784643667500193,131
14:00:43,48.873963483949986,2.2784620930508868,131
14:00:44,48.873960515347925,2.2784599385610442,131
14:00:45,48.87395730541974,2.278457458426313,131
14:00:46,48.8739542990196,2.2784546555542367,131
14:00:47,48.87395202532047,2.2784524603587823,131
14:00:48,48.87394778118577,2.278449823690015,131
14:00:49,48.873946383942005,2.2784497072530345,131
14:00:50,48.87394572413245,2.278449399526729,131
14:00:51,48.87394603463106,2.2784493219020754,131
14:00:52,48.87394743187483,2.278448972591134,131
14:00:53,48.873948829118596,2.2784478109936384,131
14:00:54,48.873949178429534,2.2784469571224477,131
14:00:55,48.87394855743231,2.2784458703772965,131
14:00:56,48.873947318210156,2.2784454434417016,131
14:00:57,48.873945147492165,2.2784452105677406,131
14:00:58,48.873942549838574,2.2784445895705114,132
14:00:59,48.87393956406172,2.2784440461979356,131
14:01:00,48.873936345410904,2.278443735699321,131
14:01:01,48.87393289665843,2.278444162634916,131
14:01:02,48.87392898215804,2.278444900069126,131
14:01:03,48.87392502884532,2.2784456763156626,131
14:01:04,48.87392111434493,2.2784466466238333,130
14:01:05,48.873917471530824,2.278448235156924,130
14:01:06,48.873914369316985,2.2784500177516493,130
14:01:07,48.87391126710315,2.27845160628474,130
14:01:08,48.87390608613084,2.2784483142015413,130
14:01:09,48.873902344122165,2.2784495324623295,130
14:01:10,48.87389618311173,2.2784478878363585,130
14:01:11,48.87389310506674,2.278450024433625,130
14:01:12,48.873890412159454,2.27845169030703,130
14:01:13,48.873887804838326,2.2784528854565744,130
14:01:14,48.8738851975172,2.278454380157666,130
14:01:15,48.873882461816834,2.278455917651837,130
14:01:16,48.87387989728879,2.278458439386808,130
14:01:17,48.87387823141538,2.2784618597764235,130
14:01:18,48.87387716464507,2.2784655766609387,130
14:01:19,48.87387644021939,2.278469421924689,130
14:01:20,48.87387610093141,2.278473523946909,131
14:01:21,48.87387391038843,2.2784793505797514,132
14:01:22,48.87387548910605,2.2784843477042944,133
14:01:23,48.87387814715102,2.278489257838275,133
14:01:24,48.873881478567384,2.278494931556083,132
14:01:25,48.87388318266187,2.2785044057028636,133
14:01:26,48.87388713359833,2.278508642741612,133
14:01:27,48.873887874863364,2.2785144719210537,133
14:01:28,48.87389065280105,2.278517246246338,133
14:01:29,48.87389262156053,2.2785191680445815,133
14:01:30,48.873893629420884,2.278521089842825,133
14:01:31,48.873891876589866,2.2785263253796484,133
14:01:32,48.8738949952587,2.2785286941835956,133
14:01:33,48.87389891762887,2.2785300400949295,133
14:01:34,48.87390380905521,2.2785300939313826,133
14:01:35,48.87390907733671,2.278529667085217,133
14:01:36,48.873914130272404,2.278528486528704,133
